fecha,viajeros
2014-08-01,27929.55
2014-09-01,16438.834482758622
2014-10-01,21898.314285714285
2014-11-01,24206.052447552447
2014-12-01,36564.30546623794
2015-01-01,26756.135078534033
2015-02-01,27360.202702702703
2015-03-01,37090.629277649416
2015-04-01,26467.910087719298
2015-05-01,26107.717424614333
2015-06-01,41993.94527521631
2015-07-01,41001.085618482546
2015-08-01,28129.472067039107
2015-09-01,18409.79458128079
2015-10-01,24198.292054702575
2015-11-01,26975.736363636363
2015-12-01,38504.91763484649
2016-01-01,28459.059943544817
2016-02-01,29143.765478263347
2016-03-01,41421.87946857441
2016-04-01,25140.345139021683
2016-05-01,27164.094378711332
2016-06-01,42069.02818474758
2016-07-01,46591.53624615213
2016-08-01,27643.01772833587
2016-09-01,17955.6776814012
2016-10-01,23878.061889654182
2016-11-01,24488.44741499767
2016-12-01,31290.321668263205
2017-01-01,25146.457807359395
2017-02-01,29305.59247611726
2017-03-01,36735.445401554935
2017-04-01,31491.811572381484
2017-05-01,25477.916600118697
2017-06-01,43504.58660951144
2017-07-01,49154.91023457685
2017-08-01,29249.339492878666
2017-09-01,19736.73407224852
2017-10-01,25938.196287143084
2017-11-01,28352.76992416454
2017-12-01,41316.99132946667
2018-01-01,31627.73323394083
2018-02-01,30648.686804572
2018-03-01,46190.154118531245
2018-04-01,29346.853604847172
2018-05-01,30236.29488304565
2018-06-01,49978.854057470635
2018-07-01,52819.75498637384
2018-08-01,34432.64078542937
2018-09-01,21890.212367661483
2018-10-01,28928.59994650979
2018-11-01,34460.85028759811
2018-12-01,48483.78344653724
2019-01-01,34367.0
2019-02-01,33647.0
2019-03-01,43983.0
2019-04-01,36358.99999999987
2019-05-01,33525.00000000025
2019-06-01,52422.00000000017
2019-07-01,54288.0
2019-08-01,35878.00000000021
2019-09-01,22791.00000000007
2019-10-01,29563.00000000001
2019-11-01,34000.99999999978
2019-12-01,47652.99999999991
2020-01-01,38112.0
2020-02-01,37739.0
2020-03-01,17800.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,949.0
2020-10-01,1394.09131736
2020-11-01,11072.0
2020-12-01,12180.0
2021-01-01,11488.0
2021-02-01,6422.0
2021-03-01,22541.0
2021-04-01,15318.0
2021-05-01,17237.0
2021-06-01,26082.0
2021-07-01,24567.0
2021-08-01,14111.0
2021-09-01,10998.0
2021-10-01,14298.0
2021-11-01,19323.0
2021-12-01,51057.0
2022-01-01,27001.0
2022-02-01,26498.0
2022-03-01,38737.0
2022-04-01,40838.0
2022-05-01,38482.0
2022-06-01,49492.0
2022-07-01,47406.0
2022-08-01,34897.0
2022-09-01,26821.0
2022-10-01,32382.0
2022-11-01,32735.0
2022-12-01,50965.0
2023-01-01,42564.85679012346
2023-02-01,41184.363046740815
2023-03-01,55213.4667036626
2023-04-01,44113.51210894952
2023-05-01,41381.57060678371
2023-06-01,60972.33456874857
2023-07-01,61402.21111111111
2023-08-01,44902.59605263158
2023-09-01,33300.637664783426
2023-10-01,28856.235897435898
2023-11-01,44110.3871460894
2023-12-01,67843.63231707318
2024-01-01,51549.98050420168
2024-02-01,56331.931939211085
2024-03-01,65814.34652526065
2024-04-01,47926.56645860106
2024-05-01,50604.94190287849
2024-06-01,70997.42091836735
2024-07-01,70063.43320926385
2024-08-01,50503.92132168998
2024-09-01,32282.807516339868
2024-10-01,39405.92157928389
2024-11-01,49135.982300884956
2024-12-01,71932.50701754386
2025-01-01,53194.70208728653
2025-02-01,49713.2784700413
2025-03-01,61290.230504297666
2025-04-01,51448.35050594361
2025-05-01,51035.18262062994
2025-06-01,67934.42191452536
2025-07-01,73557.04897780964
2025-08-01,51692.05755693582
2025-09-01,33002.422864995315
2025-10-01,45871.23336163119
2025-11-01,56053.301865460715
2025-12-01,78927.15862068966
2026-01-01,58205.9383828186
2026-02-01,56019.357142857145
2026-03-01,72509.63840109167
2026-04-01,54854.81282997855
2026-05-01,54361.72805970149
2026-06-01,65119.89089994972
